Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Lending interest,2024-08-26 03:30:58,,,,,,,,,,0.32,CZK,,,Share lending interest,573bec45-09a5-4bc6-aa0d-8f29d1d1c2d5,,,,
Lending interest,2024-08-27 02:58:07,,,,,,,,,,0.16,CZK,,,Share lending interest,c7c7d9ef-e07a-4f87-b58a-1145440009ba,,,,
Lending interest,2024-08-28 03:04:59,,,,,,,,,,0.16,CZK,,,Share lending interest,ab609c08-6c81-40d6-a624-21d9b141ec44,,,,
Lending interest,2024-08-29 03:05:41,,,,,,,,,,0.16,CZK,,,Share lending interest,ffa2c5fb-1573-4c63-8c47-50284861043a,,,,
Lending interest,2024-08-30 03:03:32,,,,,,,,,,0.16,CZK,,,Share lending interest,7f7368d3-1be2-4e1c-9fb9-3e8eb9585810,,,,
Lending interest,2024-08-31 03:12:52,,,,,,,,,,0.16,CZK,,,Share lending interest,3b83b5c5-e4bb-426d-b90b-3bd714bcc5e9,,,,
Lending interest,2024-09-03 03:06:04,,,,,,,,,,0.47,CZK,,,Share lending interest,7731fd79-7497-4767-8286-9ec1bd5ffd7d,,,,
Lending interest,2024-09-04 03:04:04,,,,,,,,,,0.16,CZK,,,Share lending interest,94d73f70-d01e-496c-90a0-99805c4640b4,,,,
Lending interest,2024-09-05 03:04:20,,,,,,,,,,0.16,CZK,,,Share lending interest,19192a3b-78ba-40c3-9cf8-fa301b429007,,,,
Lending interest,2024-09-06 02:55:21,,,,,,,,,,0.16,CZK,,,Share lending interest,70e2aa21-baf2-4111-8968-71350123aec9,,,,
Lending interest,2024-09-09 03:13:20,,,,,,,,,,0.01,CZK,,,Share lending interest,ca4c00ab-1508-443c-a2ba-4e2e57a6e379,,,,
Lending interest,2024-09-10 03:14:59,,,,,,,,,,0.16,CZK,,,Share lending interest,f6a9dc85-937d-4a55-9168-a1619e2abbc5,,,,
Dividend (Dividend),2024-09-10 12:54:38,US4781601046,JNJ,Johnson & Johnson,1.8436135,1.05,USD,Not available,,,44.08,CZK,0.34,USD,,,,,,
Deposit,2024-09-10 13:26:28,,,,,,,,,,7191.0,CZK,,,Transaction ID: KFJQ28RGCBRWRSF6,c1a9da18-b187-45f5-a5f3-612e4460989d,,,,
Market buy,2024-09-10 13:30:17,US02209S1033,MO,Altria,0.583509,54.2,USD,0.04399,,CZK,720.0,CZK,,,,EOF20300367127,1.08,CZK,,
Market buy,2024-09-10 13:31:55,US7561091049,O,Realty Income,0.741341,62.97,USD,0.04398,,CZK,1062.99,CZK,,,,EOF20300369358,1.59,CZK,,
Market buy,2024-09-10 13:32:23,US04010L1035,ARCC,Ares Capital,0.731947,20.64,USD,0.04398,,CZK,344.0,CZK,,,,EOF20300370144,0.52,CZK,,
Market buy,2024-09-10 13:32:48,DE000PAG9113,P911,Porsche,0.645557,65.3,EUR,0.03986,,CZK,1059.0,CZK,,,,EOF20300370407,1.59,CZK,,
Market buy,2024-09-10 13:33:14,GB0007980591,BP,BP,0.6428713,402.5,GBX,3.36702,,CZK,77.35,CZK,,,,EOF20300370665,0.12,CZK,0.38,CZK
Market buy,2024-09-10 13:33:43,GB00BKFB1C65,MNG,M&G,2.0847727,208.6,GBX,3.36701,,CZK,130.0,CZK,,,,EOF20300371254,0.19,CZK,0.65,CZK
Market buy,2024-09-10 13:35:09,GB00B06QFB75,IGG,IG Group,4.5122899,964.0,GBX,3.36779,,CZK,1299.99,CZK,,,,EOF20300373596,1.94,CZK,6.45,CZK
Market buy,2024-09-10 13:36:05,GB0005603997,LGEN,Legal & General,0.7395216,226.2,GBX,3.36714,,CZK,50.0,CZK,,,,EOF20300385246,0.07,CZK,0.25,CZK
Market buy,2024-09-10 13:38:36,GB00B1GCLT25,POLR,Polar Capital,2.549885,509.0,GBX,3.36747,,CZK,386.0,CZK,,,,EOF20300394363,0.58,CZK,,
Market buy,2024-09-10 13:44:36,GB00B00FPT80,CSN,Chesnara,27.1070542,260.0,GBX,3.36670,,CZK,2106.99,CZK,,,,EOF20300397344,3.14,CZK,10.46,CZK
Lending interest,2024-09-11 03:02:24,,,,,,,,,,0.16,CZK,,,Share lending interest,0dcedbdc-a975-4149-b8fa-b730e7df13b5,,,,
Lending interest,2024-09-12 03:14:53,,,,,,,,,,0.16,CZK,,,Share lending interest,5319faeb-bd72-4601-82ae-7970637944a7,,,,
Dividend (Dividend),2024-09-12 11:38:43,US5949181045,MSFT,Microsoft,0.2996276,0.64,USD,Not available,,,4.35,CZK,0.03,USD,,,,,,
Interest on cash,2024-09-13 01:02:48,,,,,,,,,,0.01,CZK,,,Interest on cash,3ebfc341-c1fe-4f2c-9d57-9a251fcba67a,,,,
Lending interest,2024-09-13 03:08:14,,,,,,,,,,0.16,CZK,,,Share lending interest,c5851bfb-7982-43ed-9575-7f8fe7e15ffb,,,,
Dividend (Dividend),2024-09-13 11:23:01,US56035L1044,MAIN,Main Street Capital,1.850479,0.21,USD,Not available,,,8.73,CZK,0.07,USD,,,,,,
Dividend (Dividend),2024-09-13 11:38:12,US7561091049,O,Realty Income,2.403635,0.22,USD,Not available,,,12.17,CZK,0.09,USD,,,,,,
Lending interest,2024-09-14 03:02:10,,,,,,,,,,0.18,CZK,,,Share lending interest,ad929919-6845-4922-aa18-c5ba0d714270,,,,
Lending interest,2024-09-16 03:01:44,,,,,,,,,,0.35,CZK,,,Share lending interest,1a3e6f6d-797a-4749-8452-7c46ef5bb5c6,,,,
Market sell,2024-09-16 07:00:37,GB00B1FH8J72,SVT,Severn Trent,0.65140628,2676.0,GBX,3.35850,22.26,CZK,518.25,CZK,,,,EOF20500430411,0.78,CZK,,
Market buy,2024-09-16 07:11:10,GB00B1ZBKY84,MONY,MONY Group,4.0084865,208.2,GBX,3.35990,,CZK,250.0,CZK,,,,EOF20549952604,0.37,CZK,1.24,CZK
Market buy,2024-09-16 07:17:22,GB0005603997,LGEN,Legal & General,2.9651323,225.2,GBX,3.36041,,CZK,200.0,CZK,,,,EOF20549955738,0.3,CZK,0.99,CZK
Dividend (Dividend),2024-09-16 10:39:10,US02079K3059,GOOGL,Alphabet (Class A),0.7486109,0.17,USD,Not available,,,2.88,CZK,0.02,USD,,,,,,
Dividend (Dividend),2024-09-16 10:56:37,US85254J1025,STAG,STAG Industrial,3.532799,0.1,USD,Not available,,,8.38,CZK,0.07,USD,,,,,,
Interest on cash,2024-09-17 01:02:50,,,,,,,,,,0.02,CZK,,,Interest on cash,d336f381-cbf5-4cba-9f61-4958e02b99b4,,,,
Lending interest,2024-09-17 03:09:41,,,,,,,,,,0.19,CZK,,,Share lending interest,c1a5d627-83dd-4931-a9dc-271609b7aa73,,,,
Interest on cash,2024-09-18 01:03:12,,,,,,,,,,0.01,CZK,,,Interest on cash,22d19c99-166b-4bb6-97b1-0fb9388039da,,,,
Lending interest,2024-09-18 01:54:44,,,,,,,,,,0.02,CZK,,,Share lending interest,a0d74da4-e105-4af8-91b5-d656d8eaffb6,,,,
Interest on cash,2024-09-19 01:03:11,,,,,,,,,,0.01,CZK,,,Interest on cash,a74bb4ff-2757-47c7-bb99-87940a83db13,,,,
Lending interest,2024-09-19 03:05:45,,,,,,,,,,0.19,CZK,,,Share lending interest,1653d478-6e21-49e3-ba8b-6f8eef9df5a5,,,,
Market buy,2024-09-19 07:00:57,GB0008794710,TEP,Telecom Plus,0.19737508,1842.0,GBX,3.35670,,CZK,109.01,CZK,,,,EOF20702262831,0.16,CZK,0.54,CZK
Lending interest,2024-09-20 03:02:12,,,,,,,,,,0.18,CZK,,,Share lending interest,3a1baab3-b393-440e-96ec-5f9482431fcd,,,,
Dividend (Dividend),2024-09-20 09:29:16,GB0031348658,BARC,Barclays,30.3860644,2.9,GBX,Not available,,,26.36,CZK,0.0,GBX,,,,,,
Dividend (Dividend),2024-09-20 09:35:16,GB0007980591,BP,BP,24.1580233,6.05,GBX,Not available,,,43.72,CZK,0.0,GBX,,,,,,
Market buy,2024-09-20 10:56:28,GB0008794710,TEP,Telecom Plus,0.1261363,1848.0,GBX,3.35154,,CZK,70.0,CZK,,,,EOF20754273135,0.1,CZK,0.35,CZK
Lending interest,2024-09-21 03:10:59,,,,,,,,,,0.17,CZK,,,Share lending interest,2e904a7b-dd9a-45e5-8178-e10782a309e6,,,,
Lending interest,2024-09-23 03:09:09,,,,,,,,,,0.34,CZK,,,Share lending interest,80afbb1c-b533-4c7b-91c2-eb3e29d4109b,,,,
Lending interest,2024-09-24 03:25:51,,,,,,,,,,0.19,CZK,,,Share lending interest,9e7f7d63-eb71-4534-bf8a-ce4d8a84cebd,,,,
Lending interest,2024-09-25 03:25:27,,,,,,,,,,0.11,CZK,,,Share lending interest,0ba12bbb-dc45-4ed2-827e-3d9d65c1deab,,,,
Lending interest,2024-09-26 09:17:52,,,,,,,,,,0.18,CZK,,,Share lending interest,fa9da3e6-4edc-43b1-b145-9ac0d3293f84,,,,
Lending interest,2024-09-27 03:03:33,,,,,,,,,,0.17,CZK,,,Share lending interest,6ccfc18e-f87b-4239-a105-a8bb6d137cfc,,,,
Dividend (Dividend),2024-09-27 12:35:39,CA7063271034,PBA,Pembina Pipeline,3.138197,0.43,USD,Not available,,,30.71,CZK,0.24,USD,,,,,,
Market buy,2024-09-27 12:41:21,GB0008794710,TEP,Telecom Plus,0.05354642,1844.0,GBX,3.31229,,CZK,29.85,CZK,,,,EOF21100418769,0.04,CZK,,
Dividend (Dividend manufactured payment),2024-09-27 12:56:54,US56035L1044,MAIN,Main Street Capital,1.850479,0.26,USD,Not available,,,10.62,CZK,0.08,USD,,,,,,
Lending interest,2024-09-28 03:05:23,,,,,,,,,,0.17,CZK,,,Share lending interest,84b9075b-14d5-49b2-8d15-8eaaefd71d65,,,,
Lending interest,2024-09-30 03:10:27,,,,,,,,,,0.35,CZK,,,Share lending interest,4371ca4e-a5f8-4886-8b21-6a3c52323b9f,,,,
Dividend (Dividend),2024-09-30 11:00:15,US04010L1035,ARCC,Ares Capital,4.68281,0.41,USD,Not available,,,42.99,CZK,0.34,USD,,,,,,
Interest on cash,2024-10-01 01:03:11,,,,,,,,,,0.01,CZK,,,Interest on cash,2e6509e8-bad5-46aa-8962-ac9414949029,,,,
Lending interest,2024-10-01 03:12:21,,,,,,,,,,0.18,CZK,,,Share lending interest,abd37f2f-f74a-485b-b836-6d4fbf49ae26,,,,
Market buy,2024-10-01 07:01:14,GB0008794710,TEP,Telecom Plus,0.1015112,1830.0,GBX,3.30308,,CZK,56.6,CZK,,,,EOF21256017746,0.08,CZK,0.28,CZK
Lending interest,2024-10-02 03:22:46,,,,,,,,,,0.18,CZK,,,Share lending interest,b60eb662-0023-4ebd-ab6a-1605a274ee92,,,,
Lending interest,2024-10-03 03:17:27,,,,,,,,,,0.18,CZK,,,Share lending interest,a8036496-ce72-4f02-aefe-23575bf229d2,,,,
Dividend (Dividend),2024-10-03 09:29:10,US67066G1040,NVDA,Nvidia,3.7395026,0.01,USD,Not available,,,0.73,CZK,0.01,USD,,,,,,
Lending interest,2024-10-04 03:00:40,,,,,,,,,,0.18,CZK,,,Share lending interest,aa03aaa3-20ad-4e03-a559-c47720071fc3,,,,
Lending interest,2024-10-05 03:25:05,,,,,,,,,,0.17,CZK,,,Share lending interest,104d9686-bb6b-4654-9888-26b3a260b232,,,,
Lending interest,2024-10-07 03:23:13,,,,,,,,,,0.34,CZK,,,Share lending interest,d9958491-8c05-4206-985f-7c4def52b9a0,,,,
Market sell,2024-10-07 14:53:06,US67066G1040,NVDA,Nvidia,0.3070725,126.97,USD,0.04325,509.32,CZK,900.0,CZK,,,,EOF21603233843,1.35,CZK,,
Market buy,2024-10-07 14:53:50,US5949181045,MSFT,Microsoft,0.0207864,415.78,USD,0.04327,,CZK,200.0,CZK,,,,EOF21603234065,0.3,CZK,,
Market buy,2024-10-07 14:54:16,US02079K3059,GOOGL,Alphabet (Class A),0.0519111,166.5,USD,0.04328,,CZK,200.0,CZK,,,,EOF21603234124,0.3,CZK,,
Market buy,2024-10-07 14:55:05,GB00B1ZBKY84,MONY,MONY Group,3.8699298,212.4,GBX,3.30920,,CZK,250.0,CZK,,,,EOF21603234265,0.37,CZK,1.24,CZK
Market buy,2024-10-07 14:55:24,GB0005603997,LGEN,Legal & General,3.6631755,224.4,GBX,3.30937,,CZK,250.0,CZK,,,,EOF21603234339,0.37,CZK,1.24,CZK
Lending interest,2024-10-08 03:09:47,,,,,,,,,,0.17,CZK,,,Share lending interest,10ce6fef-6830-4046-9629-8f8bc98597b7,,,,
Lending interest,2024-10-09 02:56:23,,,,,,,,,,0.16,CZK,,,Share lending interest,3f012e15-3b7e-4bcb-8b02-c22d1fd9086d,,,,
Lending interest,2024-10-10 03:07:28,,,,,,,,,,0.17,CZK,,,Share lending interest,21fa222a-b8dd-4c22-898d-268e506d35cf,,,,
Dividend (Dividend),2024-10-10 09:16:58,US02209S1033,MO,Altria,2.923962,0.87,USD,Not available,,,58.71,CZK,0.45,USD,,,,,,
Deposit,2024-10-10 11:07:00,,,,,,,,,,2500.0,CZK,,,Transaction ID: K2LVSWNQP32KBLX3,e49e4751-192e-441b-b01e-c04d1a2a9a54,,,,
Market buy,2024-10-10 11:11:11,DE000PAG9113,P911,Porsche,0.232508,69.2,EUR,0.03949,,CZK,408.0,CZK,,,,EOF21704235551,0.61,CZK,,
Market buy,2024-10-10 11:11:52,GB0007980591,BP,BP,0.2735039,408.0,GBX,3.30342,,CZK,34.0,CZK,,,,EOF21704235600,0.05,CZK,0.17,CZK
Market buy,2024-10-10 11:12:30,GB00BKFB1C65,MNG,M&G,0.7497603,205.7,GBX,3.30247,,CZK,47.0,CZK,,,,EOF21704235671,0.07,CZK,0.23,CZK
Market buy,2024-10-10 11:13:01,GB00B1GCLT25,POLR,Polar Capital,0.6211146,531.0,GBX,3.30307,,CZK,100.0,CZK,,,,EOF21704235741,0.15,CZK,,
Market buy,2024-10-10 11:14:28,GB00B06QFB75,IGG,IG Group,0.5532955,913.5,GBX,3.30328,,CZK,154.0,CZK,,,,EOF21704235849,0.23,CZK,0.76,CZK
Market buy,2024-10-10 11:15:10,GB0005603997,LGEN,Legal & General,1.0288996,223.3,GBX,3.30342,,CZK,70.0,CZK,,,,EOF21704235918,0.1,CZK,0.35,CZK
Market buy,2024-10-10 11:23:09,GB00B1ZBKY84,MONY,MONY Group,2.593621,209.0,GBX,3.30286,,CZK,165.19,CZK,,,,EOF21704236594,0.25,CZK,0.82,CZK
Market buy,2024-10-10 11:31:35,GB00B00FPT80,CSN,Chesnara,0.4633113,255.0,GBX,3.30289,,CZK,36.0,CZK,,,,EOF21704237433,0.05,CZK,0.18,CZK
Market buy,2024-10-10 13:30:02,US04010L1035,ARCC,Ares Capital,0.272837,21.04,USD,0.04322,,CZK,133.0,CZK,,,,EOF21750852807,0.2,CZK,,
Market buy,2024-10-10 13:30:08,US7561091049,O,Realty Income,0.245989,61.76,USD,0.04322,,CZK,352.0,CZK,,,,EOF21750868666,0.53,CZK,,
Market buy,2024-10-10 13:30:16,US56035L1044,MAIN,Main Street Capital,0.699213,50.74,USD,0.04322,,CZK,822.0,CZK,,,,EOF21750869824,1.23,CZK,,
Market buy,2024-10-10 13:30:36,US02209S1033,MO,Altria,0.124703,50.57,USD,0.04322,,CZK,146.13,CZK,,,,EOF21750870852,0.22,CZK,,
Market buy,2024-10-10 13:30:37,US02209S1033,MO,Altria,0.080231,50.49,USD,0.04321,,CZK,93.87,CZK,,,,EOF21750871019,0.14,CZK,,
Lending interest,2024-10-11 02:54:16,,,,,,,,,,0.16,CZK,,,Share lending interest,77c59f73-cffe-4b94-b5a4-af80a7a3dbf1,,,,
Lending interest,2024-10-12 02:59:02,,,,,,,,,,0.13,CZK,,,Share lending interest,c0a181d7-0ba9-4cb0-a6c5-9e8f7a91d209,,,,
Lending interest,2024-10-14 03:09:54,,,,,,,,,,0.26,CZK,,,Share lending interest,4ee338d4-2674-46b3-ad9d-04367993a6f6,,,,
Lending interest,2024-10-15 02:56:52,,,,,,,,,,0.13,CZK,,,Share lending interest,1c594104-f685-4519-83d9-93a62f027520,,,,
Dividend (Dividend),2024-10-15 12:35:53,US85254J1025,STAG,STAG Industrial,3.532799,0.1,USD,Not available,,,8.58,CZK,0.07,USD,,,,,,
Dividend (Dividend),2024-10-15 13:02:50,US7561091049,O,Realty Income,3.144976,0.22,USD,Not available,,,16.32,CZK,0.12,USD,,,,,,
Dividend (Dividend),2024-10-15 13:13:53,US6098391054,MPWR,Monolithic Power Systems,0.0537164,1.06,USD,Not available,,,1.32,CZK,0.01,USD,,,,,,
Dividend (Dividend manufactured payment),2024-10-15 13:27:57,US56035L1044,MAIN,Main Street Capital,1.850479,0.21,USD,Not available,,,8.93,CZK,0.07,USD,,,,,,
Interest on cash,2024-10-16 01:03:42,,,,,,,,,,0.01,CZK,,,Interest on cash,83de1abf-f8b7-4bb1-a4bc-84149f9a3c44,,,,
Lending interest,2024-10-16 03:02:41,,,,,,,,,,0.21,CZK,,,Share lending interest,0b734362-536d-46b9-8ba4-fb5a36a5366d,,,,
Market buy,2024-10-16 07:00:32,GB0008794710,TEP,Telecom Plus,0.06272179,1840.0,GBX,3.31918,,CZK,34.99,CZK,,,,EOF22005225401,0.05,CZK,0.17,CZK
Lending interest,2024-10-17 03:09:16,,,,,,,,,,0.2,CZK,,,Share lending interest,308ec6ac-a865-4d44-a267-bc3330e859e8,,,,
Dividend (Dividend),2024-10-17 08:45:56,GB00B06QFB75,IGG,IG Group,6.2453803,32.64,GBX,Not available,,,61.66,CZK,0.0,GBX,,,,,,
Market sell,2024-10-17 15:23:12,US67066G1040,NVDA,Nvidia,0.3078755,139.47,USD,0.04287,608.45,CZK,1000.0,CZK,,,,EOF22103569660,1.5,CZK,,
Market buy,2024-10-17 15:34:45,US04010L1035,ARCC,Ares Capital,0.125055,21.58,USD,0.04295,,CZK,62.92,CZK,,,,EOF22103572264,0.09,CZK,,
Interest on cash,2024-10-18 01:03:32,,,,,,,,,,0.1,CZK,,,Interest on cash,474b5d96-4c94-4102-90c9-76f938884541,,,,
Lending interest,2024-10-18 03:16:05,,,,,,,,,,0.2,CZK,,,Share lending interest,3b02ac6b-4f0a-4b2e-83f2-36f2136c4c51,,,,
Market buy,2024-10-18 07:01:15,GB0008794710,TEP,Telecom Plus,1.14034033,1874.0,GBX,3.28859,,CZK,654.04,CZK,,,,EOF22104928022,0.97,CZK,3.25,CZK
Market buy,2024-10-18 07:01:36,GB0008794710,TEP,Telecom Plus,0.60254398,1876.0,GBX,3.28864,,CZK,345.96,CZK,,,,EOF22104928318,0.52,CZK,1.72,CZK
Dividend (Dividend),2024-10-18 11:31:38,GB00BKFB1C65,MNG,M&G,10.768817,6.6,GBX,Not available,,,21.61,CZK,0.0,GBX,,,,,,
Interest on cash,2024-10-19 01:03:29,,,,,,,,,,0.01,CZK,,,Interest on cash,069181b6-bacf-40ab-b445-7b274004a89d,,,,
Lending interest,2024-10-19 03:11:36,,,,,,,,,,0.2,CZK,,,Share lending interest,a3a3beb9-f211-446b-9712-eaa687419c65,,,,
Lending interest,2024-10-21 03:09:37,,,,,,,,,,0.41,CZK,,,Share lending interest,dc433b9a-77f0-4900-a5d5-5e86e5c9beff,,,,
Lending interest,2024-10-22 03:04:12,,,,,,,,,,0.17,CZK,,,Share lending interest,b6dfd116-2b90-4b99-9b0b-c79c1070421d,,,,
Interest on cash,2024-10-23 01:03:38,,,,,,,,,,0.01,CZK,,,Interest on cash,f8ccc343-7a64-4ce6-bc02-e7005e0ece87,,,,
Lending interest,2024-10-23 03:04:52,,,,,,,,,,0.17,CZK,,,Share lending interest,94095fd3-33f3-4b27-8b53-525a63e7ebe3,,,,
Lending interest,2024-10-24 03:05:40,,,,,,,,,,0.18,CZK,,,Share lending interest,a4c74789-be20-4abd-9127-d3fe7b41b502,,,,
Lending interest,2024-10-25 03:04:14,,,,,,,,,,0.18,CZK,,,Share lending interest,c82cdad9-244e-4c87-9093-fcd8f6232793,,,,
Lending interest,2024-10-26 02:59:08,,,,,,,,,,0.17,CZK,,,Share lending interest,00d3d706-6f18-4d1e-bafc-059b2625ac00,,,,
Interest on cash,2024-10-27 02:03:37,,,,,,,,,,0.01,CZK,,,Interest on cash,f06adfe3-2868-4aef-8cac-e1749cf4efff,,,,
Lending interest,2024-10-28 04:01:17,,,,,,,,,,0.35,CZK,,,Share lending interest,da0847bc-a3ba-4d84-af64-5fb0f56f1c56,,,,
Lending interest,2024-10-29 03:59:33,,,,,,,,,,0.17,CZK,,,Share lending interest,a60cf924-f783-445c-b9a2-bc33a8e74225,,,,
Lending interest,2024-10-30 03:49:21,,,,,,,,,,0.17,CZK,,,Share lending interest,d87fd0fd-808e-4501-9c5a-77857bde3765,,,,
Interest on cash,2024-10-31 02:03:29,,,,,,,,,,0.01,CZK,,,Interest on cash,7287edef-2f93-473b-82ae-b456c1b67cbe,,,,
Lending interest,2024-10-31 04:22:31,,,,,,,,,,0.18,CZK,,,Share lending interest,305dea45-8dda-4b13-9e5c-819368502c1c,,,,
Dividend (Dividend),2024-10-31 10:05:30,US46625H1005,JPM,JPMorgan Chase & Co,0.3996554,1.06,USD,Not available,,,9.93,CZK,0.07,USD,,,,,,
Lending interest,2024-11-01 04:23:11,,,,,,,,,,0.17,CZK,,,Share lending interest,e9fff092-b241-4f27-9055-9e4f9e2d881f,,,,
Market buy,2024-11-01 08:00:45,GB0008794710,TEP,Telecom Plus,0.06574726,1720.0,GBX,3.32505,,CZK,34.23,CZK,,,,EOF22805819483,0.05,CZK,0.17,CZK
Dividend (Dividend),2024-11-01 10:41:10,GB00B00FPT80,CSN,Chesnara,27.6701072,8.61,GBX,Not available,,,71.79,CZK,0.0,GBX,,,,,,
Interest on cash,2024-11-02 02:02:57,,,,,,,,,,0.01,CZK,,,Interest on cash,7e093793-9c93-4c13-b81d-004d58eb66f7,,,,
Lending interest,2024-11-02 04:15:16,,,,,,,,,,0.17,CZK,,,Share lending interest,67b7bab9-a681-437e-8335-aba774df93cd,,,,
Interest on cash,2024-11-03 02:03:04,,,,,,,,,,0.01,CZK,,,Interest on cash,79f6cb87-779c-41d5-a6be-2ecbbcc13ba4,,,,
Lending interest,2024-11-04 04:09:52,,,,,,,,,,0.35,CZK,,,Share lending interest,216bd357-ef6c-45b0-8375-6c433c2ba2d7,,,,
Market buy,2024-11-04 08:34:28,GB00B00FPT80,CSN,Chesnara,0.9285702,255.5,GBX,3.31864,,CZK,71.96,CZK,,,,EOF22902440671,0.11,CZK,0.36,CZK
Lending interest,2024-11-05 04:16:59,,,,,,,,,,0.17,CZK,,,Share lending interest,0e797fb8-c124-4875-8d27-d6205f75aca6,,,,
Lending interest,2024-11-06 03:54:27,,,,,,,,,,0.17,CZK,,,Share lending interest,20b8443d-2294-4036-8557-10ff09164489,,,,
Lending interest,2024-11-07 04:11:41,,,,,,,,,,0.17,CZK,,,Share lending interest,ae98cc0b-2842-4f65-8747-0f90ebbf8f3b,,,,
Dividend (Dividend),2024-11-07 12:07:31,NL0010273215,ASML,ASML,0.1541076,1.29,EUR,Not available,,,5.04,CZK,0.04,EUR,,,,,,
Lending interest,2024-11-08 04:12:01,,,,,,,,,,0.17,CZK,,,Share lending interest,7dd0b561-6965-405f-9a6d-bf147b3eea9a,,,,
Deposit,2024-11-08 17:08:22,,,,,,,,,,3886.0,CZK,,,Transaction ID: T62SFQHZ5TL44VF6,6f9b9026-67ae-4dca-a114-2381de116028,,,,
Interest on cash,2024-11-09 02:02:48,,,,,,,,,,0.42,CZK,,,Interest on cash,48f3a5f0-b0ae-46ce-8930-1a1a3f72a777,,,,
Lending interest,2024-11-09 03:55:17,,,,,,,,,,0.18,CZK,,,Share lending interest,51419d9d-eda1-4acd-a9eb-0ec02e933c3d,,,,
Interest on cash,2024-11-10 02:02:50,,,,,,,,,,0.42,CZK,,,Interest on cash,ffaa64dc-a1a6-4719-aebf-e35c1daedbae,,,,
Interest on cash,2024-11-11 02:02:56,,,,,,,,,,0.42,CZK,,,Interest on cash,f31219bc-72c4-4355-a57f-e423e0dd166a,,,,
Lending interest,2024-11-11 04:10:40,,,,,,,,,,0.35,CZK,,,Share lending interest,5591450c-6f14-4904-8e0a-bed1d0170b14,,,,
Market buy,2024-11-11 08:00:23,DE000PAG9113,P911,Porsche,0.524259,65.2,EUR,0.03957,,CZK,865.0,CZK,,,,EOF23252127603,1.3,CZK,,
Market buy,2024-11-11 08:00:25,GB00B1GCLT25,POLR,Polar Capital,1.3383623,502.0,GBX,3.28231,,CZK,205.0,CZK,,,,EOF23252127747,0.31,CZK,,
Market buy,2024-11-11 08:00:31,GB00BKFB1C65,MNG,M&G,1.6486036,195.8,GBX,3.28178,,CZK,99.0,CZK,,,,EOF23252128070,0.15,CZK,0.49,CZK
Market buy,2024-11-11 08:00:32,GB0008794710,TEP,Telecom Plus,1.92368581,1678.0,GBX,3.28176,,CZK,989.99,CZK,,,,EOF23252128881,1.48,CZK,4.91,CZK
Market buy,2024-11-11 08:00:32,GB0005603997,LGEN,Legal & General,2.1746007,218.9,GBX,3.28176,,CZK,146.0,CZK,,,,EOF23252128983,0.22,CZK,0.73,CZK
Market buy,2024-11-11 08:00:36,GB0007980591,BP,BP,0.6325317,376.3,GBX,3.28169,,CZK,73.0,CZK,,,,EOF23252131404,0.11,CZK,0.36,CZK
Market buy,2024-11-11 08:00:37,GB0007188757,RIO,Rio Tinto,0.65757226,4958.5,GBX,3.28177,,CZK,999.99,CZK,,,,EOF23252132052,1.49,CZK,4.96,CZK
Market buy,2024-11-11 08:00:47,GB00B1ZBKY84,MONY,MONY Group,2.988125,185.5,GBX,3.28180,,CZK,169.99,CZK,,,,EOF23252134076,0.25,CZK,0.84,CZK
Market buy,2024-11-11 08:01:33,GB00B06QFB75,IGG,IG Group,1.1932247,923.5,GBX,3.28135,,CZK,338.0,CZK,,,,EOF23252135997,0.5,CZK,1.68,CZK
Lending interest,2024-11-12 03:57:51,,,,,,,,,,0.18,CZK,,,Share lending interest,9522fa6d-6cfb-40b2-84fa-4b47ce6830f2,,,,
Lending interest,2024-11-13 03:57:27,,,,,,,,,,0.07,CZK,,,Share lending interest,658237ff-c4b5-4bd5-ba21-a80661790a23,,,,
Lending interest,2024-11-14 04:05:24,,,,,,,,,,0.19,CZK,,,Share lending interest,ea577e36-78a8-40c4-a4b9-c8f412e71bf3,,,,
Deposit,2024-11-14 19:33:01,,,,,,,,,,1000.0,CZK,,,Transaction ID: WT9ZP6767RDG96F6,6310b6bf-defc-4737-8344-e8b9ae6cb71e,,,,
Market buy,2024-11-14 19:35:29,US6098391054,MPWR,Monolithic Power Systems,0.0724591,575.07,USD,0.04173,,CZK,1000.0,CZK,,,,EOF23504504052,1.5,CZK,,
Lending interest,2024-11-15 03:52:40,,,,,,,,,,0.19,CZK,,,Share lending interest,77e1fdd3-a2d9-409a-a3ad-b7075f00b01e,,,,
Dividend (Dividend),2024-11-15 16:16:31,US85254J1025,STAG,STAG Industrial,3.532799,0.1,USD,Not available,,,8.86,CZK,0.07,USD,,,,,,
Dividend (Dividend),2024-11-15 16:24:52,US7561091049,O,Realty Income,3.390965,0.22,USD,Not available,,,18.17,CZK,0.13,USD,,,,,,
Dividend (Dividend manufactured payment),2024-11-15 17:08:53,US56035L1044,MAIN,Main Street Capital,2.549692,0.21,USD,Not available,,,12.7,CZK,0.09,USD,,,,,,
Market buy,2024-11-15 17:30:33,US7561091049,O,Realty Income,0.035464,56.47,USD,0.04178,,CZK,48.0,CZK,,,,EOF23552097612,0.07,CZK,,
